Date,Day,Month,Year,PM25,PM10,NO2,NH3,SO2,CO,Ozone,RH,WS,WD,SR,Temp,Dew,Pre,Season,IsWeekday,PM25_AQI,PM10_AQI,SO2_AQI,NO2_AQI,CO_AQI,Ozone_AQI,NH3_AQI,AQI
2017-01-01,1,1,2017,80.47,326.82,56.41,55.61,28.14,3.0304687499999985,21.92,75.23,0.87,192.24,74.27,14.83,4.92,0.0,0,0,168.23333333333335,276.82,35.175,70.51249999999999,112.88085937499999,21.92,55.61,276.82
2017-01-02,2,1,2017,80.47,323.0,69.2,53.96,21.63,3.0304687499999985,24.35,72.57,0.6,201.23,76.35,15.09,6.27,0.01,0,1,168.23333333333335,273.0,27.0375,86.5,112.88085937499999,24.35,53.96,273.0
2017-01-03,3,1,2017,222.0,361.72,73.33,53.05,28.63,3.0304687499999985,24.44,74.1,0.51,228.49,76.33,16.32,3.85,0.0,0,1,378.46153846153845,314.65000000000003,35.7875,91.6625,112.88085937499999,24.44,53.05,378.46153846153845
2017-01-04,4,1,2017,206.84,303.91,51.46,47.04,22.16,3.0304687499999985,32.17,69.01,0.64,157.43,80.48,16.91,3.27,0.0,0,1,366.8,253.91000000000003,27.7,64.325,112.88085937499999,32.17,47.04,366.8
2017-01-05,5,1,2017,278.41,341.33,64.21,47.16,27.88,3.0304687499999985,32.03,70.46,0.52,191.89,75.36,18.0,1.26,0.0,0,1,500.0,291.33,34.85,80.26249999999999,112.88085937499999,32.03,47.16,500.0
2017-01-06,6,1,2017,201.48,264.7,54.55,48.83,20.29,2.17,29.64,71.89,1.2,149.23,74.12,17.04,1.82,0.18,0,1,362.67692307692306,214.7,25.3625,68.1875,102.125,29.64,48.83,362.67692307692306
2017-01-07,7,1,2017,169.38,180.18,36.81,47.36,23.43,1.73,12.42,83.25,1.43,138.7,19.2,15.85,6.43,1.7312499999999995,0,0,337.9846153846154,153.45333333333335,29.2875,46.0125,86.5,12.42,47.36,337.9846153846154
2017-01-08,8,1,2017,227.85,200.11,55.06,40.08,23.19,1.86,27.26,72.64,0.65,182.67,80.36,13.31,4.88,0.0,0,0,382.96153846153845,166.74,28.9875,68.825,93.0,27.26,40.08,382.96153846153845
2017-01-09,9,1,2017,180.7,232.09,64.17,39.97,27.25,1.99,24.1,73.07,0.71,193.88,85.11,11.69,-0.34,0.0,0,1,346.6923076923077,188.06,34.0625,80.2125,99.5,24.1,39.97,346.6923076923077
2017-01-10,10,1,2017,127.33,190.53,61.33,30.75,24.97,1.65,35.87,56.75,0.93,238.15,96.26,9.56,-8.16,0.0,0,1,305.6384615384615,160.35333333333332,31.2125,76.6625,82.5,35.87,30.75,305.6384615384615
2017-01-11,11,1,2017,184.85,257.43,68.82,34.71,28.07,2.32,38.38,55.52,1.19,253.8,94.71,8.83,-9.39,0.0,0,1,349.88461538461536,207.43,35.0875,86.02499999999999,104.0,38.38,34.71,349.88461538461536
2017-01-12,12,1,2017,278.73,350.79,76.77,44.75,28.77,2.74,43.01,60.27,0.93,236.27,91.0,10.42,-7.49,0.0,0,1,500.0,300.9875,35.9625,95.96249999999999,109.25,43.01,44.75,500.0
2017-01-13,13,1,2017,203.68,438.26,88.99,50.79,34.752500000000005,3.0304687499999985,43.26,59.56,0.79,231.76,88.3,11.75,-6.89,0.0,0,1,364.36923076923074,500.0,43.440625000000004,108.99,112.88085937499999,43.26,50.79,500.0
2017-01-14,14,1,2017,302.5657812499999,541.25,91.95,59.244278273809485,22.57,3.0304687499999985,14.15,78.68,0.3,230.74,14.27390625000126,11.43,-8.02,0.0,0,0,500.0,500.0,28.2125,111.95,112.88085937499999,14.15,59.244278273809485,500.0
2017-01-15,15,1,2017,250.23,302.85,77.86,39.84,29.93,2.46,58.11,40.84,0.92,194.71,127.69,13.79,-5.06,0.03,0,0,500.0,252.85000000000002,37.4125,97.325,105.75,58.11,39.84,500.0
2017-01-16,16,1,2017,186.38,242.74,56.64,47.43,27.5,1.51,27.01,64.76,1.17,166.22,78.6,13.34,-3.1,0.0,0,1,351.0615384615385,195.16,34.375,70.8,75.5,27.01,47.43,351.0615384615385
2017-01-17,17,1,2017,161.43,198.78,52.48,39.02,25.5,1.61,28.01,72.4,1.01,210.69,80.46,10.8,-0.64,0.0,0,1,331.8692307692308,165.85333333333335,31.875,65.6,80.5,28.01,39.02,331.8692307692308
2017-01-18,18,1,2017,201.87,262.65,84.59,45.88,28.64,2.0,23.59,67.75,0.66,194.35,83.39,12.37,-1.88,0.0,0,1,362.9769230769231,212.64999999999998,35.8,104.59,100.0,23.59,45.88,362.9769230769231
2017-01-19,19,1,2017,165.2,200.02,65.6,45.21,24.01,1.49,35.0,64.17,1.06,205.39,93.36,11.91,-2.52,0.0,0,1,334.7692307692308,166.68,30.0125,82.0,74.5,35.0,45.21,334.7692307692308
2017-01-20,20,1,2017,155.11,231.93,67.38,43.68,25.38,1.66,41.43,62.56,1.02,237.38,98.23,11.34,-2.42,0.0,0,1,327.0076923076923,187.95333333333332,31.725,84.225,83.0,41.43,43.68,327.0076923076923
2017-01-21,21,1,2017,80.47,195.74,47.000625,26.25,14.275,1.25,39.47,62.5219791666665,0.72,186.913541666665,104.435,13.62,-4.49,0.05,0,0,168.23333333333335,163.82666666666665,17.84375,58.75078125,62.5,39.47,26.25,168.23333333333335
2017-01-22,22,1,2017,80.47,195.74,47.000625,26.25,14.275,1.25,39.47,62.5219791666665,0.72,186.913541666665,104.435,16.2,0.66,0.04,0,0,168.23333333333335,163.82666666666665,17.84375,58.75078125,62.5,39.47,26.25,168.23333333333335
2017-01-23,23,1,2017,177.05,318.2,86.74,46.6,30.58,3.0304687499999985,42.8,55.15,0.81,203.9,114.28,16.11,0.86,0.0,0,1,343.8846153846154,268.2,38.225,106.74,112.88085937499999,42.8,46.6,343.8846153846154
2017-01-24,24,1,2017,279.09,424.64,94.59,55.92,28.22,3.0304687499999985,33.22,67.02,0.55,218.63,87.24,17.11,2.86,0.0,0,1,500.0,393.29999999999995,35.275,114.59,112.88085937499999,33.22,55.92,500.0
2017-01-25,25,1,2017,270.85,375.59,78.25,55.93,25.3,3.0304687499999985,27.79,68.84,1.38,160.39,63.92,18.8,5.06,0.27,0,1,500.0,331.98749999999995,31.625,97.8125,112.88085937499999,27.79,55.93,500.0
2017-01-26,26,1,2017,152.51,164.45,54.77,48.92,25.63,1.44,16.27,80.54,0.93,154.56,14.27390625000126,17.25,9.06,1.7312499999999995,0,1,325.0076923076923,142.96666666666667,32.0375,68.4625,72.0,16.27,48.92,325.0076923076923
2017-01-27,27,1,2017,77.05,92.74,39.48,31.11,24.75,1.06,27.46,77.16,1.49,243.1,86.98,13.73,9.03,1.7312499999999995,0,1,156.83333333333331,92.73999999999998,30.9375,49.349999999999994,53.0,27.46,31.11,156.83333333333331
2017-01-28,28,1,2017,119.0,185.73,42.3,28.58,24.78,1.23,24.82,78.65,1.27,224.43,91.55,13.48,7.21,0.0,0,0,296.6666666666667,157.1533333333333,30.975,52.875,61.5,24.82,28.58,296.6666666666667
2017-01-29,29,1,2017,80.47,224.95,41.71,30.04,25.16,1.2,27.7,75.83,1.32,223.09,98.87,14.84,4.42,0.0,0,0,168.23333333333335,183.29999999999998,31.45,52.1375,60.0,27.7,30.04,183.29999999999998
2017-01-30,30,1,2017,68.37,318.75,61.34,37.97,26.61,2.43,43.21,73.9,0.74,226.82,98.41,15.87,2.98,0.0,0,1,127.90000000000002,268.75,33.2625,76.67500000000001,105.375,43.21,37.97,268.75
2017-01-31,31,1,2017,131.88,314.67,71.58,43.23,25.06,2.24,29.19,70.43,0.78,178.95,106.76,15.98,4.29,0.0,0,1,309.1384615384615,264.67,31.325,89.475,103.0,29.19,43.23,309.1384615384615
2017-02-01,1,2,2017,166.77,276.65,66.92,35.76,27.75,2.64,28.08,71.62,1.01,238.77,106.98,14.92,4.3,0.0,0,1,335.9769230769231,226.64999999999998,34.6875,83.65,108.0,28.08,35.76,335.9769230769231
2017-02-02,2,2,2017,241.33,384.19,82.19,39.87,27.92,3.0304687499999985,33.18,66.23,0.6,187.86,105.82,15.23,2.22,0.0,0,1,393.33076923076925,342.7375,34.9,102.19,112.88085937499999,33.18,39.87,393.33076923076925
2017-02-03,3,2,2017,256.89,412.71,82.9,42.09,26.24,3.0304687499999985,26.34,67.98,0.67,188.56,109.36,16.0,3.5,0.0,0,1,500.0,378.3875,32.8,102.9,112.88085937499999,26.34,42.09,500.0
2017-02-04,4,2,2017,214.21,320.79,54.86,42.42,22.29,2.17,30.39,73.02,1.67,155.8,90.11,17.58,4.21,0.0,0,0,372.46923076923076,270.79,27.8625,68.575,102.125,30.39,42.42,372.46923076923076
2017-02-05,5,2,2017,180.1,274.15,48.92,35.56,26.22,2.11,39.47,69.8,1.61,170.63,80.38,17.1,6.92,0.24,0,0,346.2307692307692,224.14999999999998,32.775,61.150000000000006,101.375,39.47,35.56,346.2307692307692
2017-02-06,6,2,2017,189.92,328.74,54.78,33.0,24.23,1.98,19.87,66.1,1.13,197.28,101.64,14.12,1.34,0.0,0,1,353.7846153846154,278.74,30.2875,68.475,99.0,19.87,33.0,353.7846153846154
2017-02-07,7,2,2017,84.89,205.89,60.48,25.3,24.53,1.33,33.83,56.64,1.25,201.14,119.04,13.32,0.15,0.0,0,1,182.96666666666667,170.5933333333333,30.6625,75.6,66.5,33.83,25.3,182.96666666666667
2017-02-08,8,2,2017,151.24,302.07,69.88,26.82,26.05,2.12,35.2,59.84,0.98,257.22,109.73,15.41,0.08,0.0,0,1,324.03076923076924,252.07,32.5625,87.35,101.5,35.2,26.82,324.03076923076924
2017-02-09,9,2,2017,136.42,286.81,81.22,33.75,29.05,1.81,37.32,60.28,1.18,215.53,113.13,14.04,-0.1,0.0,0,1,312.6307692307692,236.81,36.3125,101.22,90.5,37.32,33.75,312.6307692307692
2017-02-10,10,2,2017,78.15,285.14,77.88,36.19,26.86,1.91,34.62,60.16,1.28,243.25,114.81,13.79,0.57,0.0,0,1,160.5,235.14,33.575,97.35,95.5,34.62,36.19,235.14
2017-02-11,11,2,2017,125.0,254.83,52.26,25.9,27.93,1.55,53.26,55.42,1.1,220.79,161.13,15.35,-0.15,0.0,0,0,303.84615384615387,204.83,34.9125,65.325,77.5,53.26,25.9,303.84615384615387
2017-02-12,12,2,2017,129.57,291.05,79.01,31.54,27.59,2.45,70.02,49.15,0.85,182.94,132.04,14.8,-0.34,0.0,0,0,307.36153846153843,241.05,34.4875,98.7625,105.625,70.02,31.54,307.36153846153843
2017-02-13,13,2,2017,137.21,276.68,81.53,33.1,24.68,2.11,45.98,57.88,1.03,213.93,113.73,14.67,0.25,0.0,0,1,313.23846153846154,226.68,30.85,101.53,101.375,45.98,33.1,313.23846153846154
2017-02-14,14,2,2017,162.77,307.35,94.34,34.69,25.46,1.7,47.3,56.67,1.39,244.63,117.36,15.7,0.58,0.0,0,1,332.9,257.35,31.825,114.34,85.0,47.3,34.69,332.9
2017-02-15,15,2,2017,142.71,305.4,92.03,35.27,30.33,1.77,50.88,53.91,1.25,253.85,114.16,18.41,1.94,0.0,0,1,317.46923076923076,255.39999999999998,37.9125,112.03,88.5,50.88,35.27,317.46923076923076
2017-02-16,16,2,2017,128.31,281.3,84.61,39.31,28.96,1.52,54.9,50.88,1.44,218.15,104.98,20.44,5.2,0.0,0,1,306.39230769230767,231.3,36.2,104.61,76.0,54.9,39.31,306.39230769230767
2017-02-17,17,2,2017,101.55,260.34,76.14,38.31,27.41,1.47,62.81,55.68,1.54,236.66,92.87,20.51,7.36,0.0,0,1,238.5,210.33999999999997,34.2625,95.175,73.5,62.81,38.31,238.5
2017-02-18,18,2,2017,113.43,265.73,82.79,41.35,27.29,1.85,54.05,60.99,0.96,229.04,106.91,20.85,7.29,0.0,0,0,278.1,215.73000000000002,34.1125,102.79,92.5,54.05,41.35,278.1
